Listing ID,Title,Price,Location,Link,Description,Bedrooms,Bathrooms,Size (sqft)
1705892750,912 Burnstown road White Lake Ont.,"$724,500.00",White Lake,https://www.kijiji.ca/v-house-for-sale/ottawa/912-burnstown-road-white-lake-ont/1705892750,UNDER CONSTRUCTION This beautiful 3 bedroom 2 bathroom new bungalow can be yours just 2 kilometers from White Lake at 912 Burnstown road . The large open concept living area consists of gorgeous ...,3,2,"1,420"
1704866033,"OPEN HOUSE! Well, Maintained Home, In Amazing Location!","$469,900.00",Chatham,https://www.kijiji.ca/v-house-for-sale/chatham-kent/open-house-well-maintained-home-in-amazing-location/1704866033,"OPEN HOUSE Sunday Nov. 10th 12pm - 2pm Welcome to 63 Finch Ave, well maintained 4 level side-split, potential granny suite on the 3rd level, with backyard access. Located close to a walking trail, ...",4,2,N/A
1705963592,A MUST SEE!!!TOTALLY NEW UPDATES FROM TOP TO BOTTOM IN ST. CATH!,"$644,900.00",St. Catharines,https://www.kijiji.ca/v-house-for-sale/st-catharines/a-must-see-totally-new-updates-from-top-to-bottom-in-st-cath/1705963592,"OPEN HOUSE THIS SUN. NOV. 10, 2PM - 4PM ! Priced to SELL!!! Move in for the end of this month and save thousands$$$ more!!!! Step into modern living with this fully renovated semi-detached, 2 storey ...",2,2,N/A
1705716713,Waterfront Property-five ( 5) acres -3000 sq ft Bungalow,"$880,000.00",Powassan,https://www.kijiji.ca/v-house-for-sale/north-bay/waterfront-property-five-5-acres-3000-sq-ft-bungalow/1705716713,"Southerly facing waterfront property on quiet Wasi Lake (501 Golf Course Rd, Chisolm, Ontario). Approximately, five (5) acres of land with 220 ft of beach waterfrontage. Solid five bedroom bungalow ...",5,2,"3,000"
1705184828,Three Bedroom house for sale in Chatham(By owner)!,Please Contact,Chatham,https://www.kijiji.ca/v-house-for-sale/chatham-kent/three-bedroom-house-for-sale-in-chatham-by-owner/1705184828,"2.75% commission paid to any real estate agent who brings an offer that results in a completed sale of the property or $3,000 cash back to any private buyer whose offer results in a completed sale of ...",3,1,N/A
1704147875,Affordable Lakefront Cottage - Free Golf & Resort Amenity,"$165,000.00",Keene,https://www.kijiji.ca/v-house-for-sale/peterborough/affordable-lakefront-cottage-free-golf-resort-amenity/1704147875,"For Sale: True Lakefront Cottage at Bellmere Wind Resort! $164,151 Within 2 hours from GTA, located close to Peterborough ️ Start Every Day with Stunning Lakefront Views and Free Golf! ️ This is a ...",3,2,749
1706126795,3 Beds 3 Baths Detached For Sale in Milton,"$995,000.00",Milton,https://www.kijiji.ca/v-house-for-sale/oakville-halton-region/3-beds-3-baths-detached-for-sale-in-milton/1706126795,"Price: $995,000/ $3,775/mo Modern, updated detached starter home perfect for those looking to upgrade from a condo, semi or townhouse. Open concept with hardwood floors throughout the chef's kitchen ...",3,3,N/A
1706123567,$2700 3BDRM 2.5 Bath House Pelham ON,"$2,700.00",Pelham,https://www.kijiji.ca/v-house-for-sale/st-catharines/2700-3bdrm-2-5-bath-house-pelham-on/1706123567,"110 Acacia road, Pelham, ON - $2,700 plus utitilites - 3 bedroom 2.5 bathroom - unfinished basement included for storage - parking in garage and on driveway - brand new build - walk-in closet - Near ...",3,2.5,N/A
1706126647,"SPYGLASS RIDGE,ON (3 Bedroom  3 Bathrooms)","$819,900.00",Ottawa,https://www.kijiji.ca/v-house-for-sale/ottawa/spyglass-ridge-on-3-bedroom-3-bathrooms/1706126647,Looking for a lifestyle change? Look no further. 8 Spyglass Ridge nestled in Amberwood Village offers detached single home living but with condo amenities & maintenance. This meticulous home is ...,3,3,N/A
1706126152,Ottawa Living 3 Bdrm 3 Bth - MALOJA Way,"$609,900.00",Ottawa,https://www.kijiji.ca/v-house-for-sale/ottawa/ottawa-living-3-bdrm-3-bth-maloja-way/1706126152,This builder really did an excellent job with the design of this home! You have an open concept main floor with hardwood and tile throughout. The chef's kitchen and family room along the back is the ...,3,3,N/A
