City,Address,Bedrooms,Bathrooms,Province,Population,Median_Family_Income,Type,Garage,Year_Built,Lot_Area,SqFt,Price
Toronto,#318 -20 SOUTHPORT ST,3,2,Ontario,5647656,97000.0,House,,,6260.5,,779900.0
Toronto,#818 -60 SOUTHPORT ST,3,1,Ontario,5647656,97000.0,House,,,6260.5,,799999.0
Toronto,#714 -859 THE QUEENSWAY,2,2,Ontario,5647656,97000.0,House,,,5179.5,,799900.0
Toronto,275 MORTIMER AVE,4,2,Ontario,5647656,97000.0,House,,,6043.5,,1200000.0
Toronto,#420 -388 RICHMOND ST,1,1,Ontario,5647656,97000.0,House,,,6198.0,,668800.0
Toronto,#2503 -99 HARBOUR SQ,0,1,Ontario,5647656,97000.0,House,,,,,548000.0
Toronto,#817 -151 DAN LECKIE WAY,2,1,Ontario,5647656,97000.0,House,,,5179.5,,669900.0
Toronto,#1107 -438 KING ST W,2,2,Ontario,5647656,97000.0,House,,,5179.5,,699000.0
Toronto,#2708 -20 EDWARD ST,3,2,Ontario,5647656,97000.0,House,,,6260.5,,978000.0
Toronto,#4616 -386 YONGE ST,2,2,Ontario,5647656,97000.0,House,,,5179.5,,958000.0
Toronto,#2713 -155 YORKVILLE AVE,2,3,Ontario,5647656,97000.0,House,,,5179.5,,1899000.0
Toronto,#1113 -80 MILL ST,2,1,Ontario,5647656,97000.0,House,,,5179.5,,559900.0
Toronto,#517 -55 EAST LIBERTY ST,1,1,Ontario,5647656,97000.0,House,,,6198.0,,498800.0
Toronto,45 BARTLETT AVE,4,2,Ontario,5647656,97000.0,House,,,6043.5,,1450000.0
Toronto,##1902 -1926 LAKE SHORE BLVD W,2,1,Ontario,5647656,97000.0,House,,,5179.5,,650000.0
Toronto,##812 -103 THE QUEENSWAY,2,2,Ontario,5647656,97000.0,House,,,5179.5,,745000.0
Toronto,#106 -10 WILBY CRES,3,2,Ontario,5647656,97000.0,House,,,6260.5,,784900.0
Toronto,3065 WESTON RD,4,2,Ontario,5647656,97000.0,House,,,6043.5,,998000.0
Toronto,468 MILVERTON BLVD,4,2,Ontario,5647656,97000.0,House,,,6043.5,,989900.0
Toronto,#1816 -35 MERCER ST,3,2,Ontario,5647656,97000.0,House,,,6260.5,,1099000.0
Toronto,#2311 -170 SUMACH ST N,0,1,Ontario,5647656,97000.0,House,,,,,459900.0
Toronto,#1720 -36 LISGAR ST W,2,2,Ontario,5647656,97000.0,House,,,5179.5,,590000.0
Toronto,#2 -350 GERRARD ST E,2,2,Ontario,5647656,97000.0,House,,,5179.5,,899900.0
Toronto,#205 -133 WYNFORD DR,2,1,Ontario,5647656,97000.0,House,,,5179.5,,585000.0
Toronto,117 WYNDCLIFF CRES,3,2,Ontario,5647656,97000.0,House,,,6260.5,,899000.0
Toronto,#1213 -195 REDPATH AVE,1,1,Ontario,5647656,97000.0,House,,,6198.0,,488000.0
Toronto,#801 -100 HAYDEN ST,2,2,Ontario,5647656,97000.0,House,,,5179.5,,650000.0
Toronto,#812 -600 FLEET ST,2,1,Ontario,5647656,97000.0,House,,,5179.5,,498000.0
Toronto,#202 -1030 KING ST W,0,1,Ontario,5647656,97000.0,House,,,,,499900.0
Toronto,15 LAURIER AVE,3,3,Ontario,5647656,97000.0,House,,,6260.5,,1595000.0
Toronto,#5008 -2221 YONGE ST,1,1,Ontario,5647656,97000.0,House,,,6198.0,,718000.0
Toronto,#1203 -63 ST CLAIR AVE W,2,2,Ontario,5647656,97000.0,House,,,5179.5,,1350000.0
Toronto,#626 -231 FORT YORK BLVD,0,1,Ontario,5647656,97000.0,House,,,,,499900.0
Toronto,#1808 -126 SIMCOE ST,3,2,Ontario,5647656,97000.0,House,,,6260.5,,999000.0
Toronto,#909 -51 TROLLEY CRES,2,1,Ontario,5647656,97000.0,House,,,5179.5,,819000.0
Toronto,#2709 -290 ADELAIDE ST W,1,1,Ontario,5647656,97000.0,House,,,6198.0,,639000.0
Toronto,#504 -12 BONNYCASTLE ST,3,2,Ontario,5647656,97000.0,House,,,6260.5,,799900.0
Toronto,#507 -58 ORCHARD VIEW BLVD,2,2,Ontario,5647656,97000.0,House,,,5179.5,,789900.0
Toronto,16 BROOKERS Lane,1,1,Ontario,5647656,97000.0,House,,,6198.0,,549900.0
Toronto,34 CYNTHIA RD,3,1,Ontario,5647656,97000.0,House,,,6260.5,,1149900.0
Toronto,16 PRINCESS ANNE CRES,4,3,Ontario,5647656,97000.0,House,,,6043.5,,2699900.0
Toronto,35 TROUTBROOKE DR,6,3,Ontario,5647656,97000.0,House,,,,,1299000.0
Toronto,14 SYMONS ST,4,2,Ontario,5647656,97000.0,House,,,6043.5,,1588000.0
